行政區,集群編號,潛力等級,tsne_x,tsne_y,分群機率,不確定度
中壢區,2,高潛力,-140.39352,96.05394,0.9857716,0.06806410382491207
八德區,0,中潛力,-21.8172,-9.241,0.6716997,0.7831731592977486
大園區,0,中潛力,-2.5691996,-1.0666724,0.5691823,0.8910799060332092
大溪區,1,低潛力,110.556175,-45.128796,0.83000773,0.4809325955321378
平鎮區,0,中潛力,-73.74729,35.584457,0.557164,0.8517444272737692
復興區,1,低潛力,156.29947,-71.37725,0.89787096,0.34068051798303484
桃園區,2,高潛力,-164.87086,107.871895,0.9090136,0.2909555222177857
新屋區,1,低潛力,148.47488,-50.321316,0.97206837,0.12233985056523966
楊梅區,0,中潛力,-49.465435,17.524307,0.98204136,0.08677174904274657
龍潭區,0,中潛力,-51.197117,40.977455,0.6931491,0.71293117868712
龜山區,2,高潛力,-121.67081,80.68925,0.63629955,0.7275779366818367
蘆竹區,2,高潛力,-157.42998,129.20071,0.8155777,0.4907105017199325
觀音區,1,低潛力,117.95519,-63.926003,0.95944846,0.163003587645147
