區域別,人口_total_population,人口_working_age_ratio,商業_total_companies,商業_total_capital,商業_hhi_index,商業_tertiary_industry_count,商業_avg_capital_per_company,所得_median_household_income,所得_total_households,地理_area_km2,醫療_medical_personnel_total,醫療_medical_facilities_total,醫療_total_beds
中壢區,422529,72.21350487185495,13729.0,2755218888.0,2413.928878058628,12107.0,200686.0578337825,504000.0,249286.0,76.08605192189188,4198.0,421.0,1658.0
八德區,209665,72.60486967304986,5328.0,1171418169.0,2712.007575181879,4241.0,219860.76745495494,449000.0,117530.0,33.795733295622234,913.0,117.0,223.0
大園區,92172,73.05906348999697,2318.0,563740662.0,2577.404233479435,1906.0,243201.3209663503,447000.0,50336.0,90.09144254532839,604.0,45.0,546.0
大溪區,94870,71.96690207652577,2937.0,621733331.0,2898.3668715467766,2292.0,211689.93224378617,424000.0,47548.0,105.10992174633945,337.0,39.0,99.0
平鎮區,228203,72.5805532793171,6130.0,1383549090.0,2787.7843709082917,5016.0,225701.3197389886,468000.0,129298.0,43.467148477405914,2265.0,91.0,1019.0
復興區,12656,71.18362831858407,268.0,29016600.0,2367.1832181884906,242.0,108270.89552238806,398000.0,3464.0,336.8805763671258,50.0,6.0,4.0
桃園區,458847,72.19051230584486,13027.0,3196464301.0,2412.984288427913,11351.0,245372.25001919092,521000.0,279766.0,34.37225379052158,7955.0,538.0,4506.0
新屋區,49094,70.93738542388071,1184.0,283161198.0,2944.9216710722762,933.0,239156.41722972973,404000.0,26306.0,89.28210466958674,411.0,13.0,284.0
楊梅區,176757,72.77618425295745,4344.0,1064045449.0,2468.220487990993,3525.0,244946.00575506446,460000.0,104662.0,89.66342070545356,1409.0,90.0,649.0
龍潭區,124442,72.376689542116,3547.0,867910361.0,2807.451744540485,2938.0,244688.57090499013,465000.0,68646.0,75.94104965324053,1720.0,70.0,934.0
龜山區,166767,73.48456229349931,4449.0,955277239.0,2981.9792432732334,3762.0,214717.29354911216,488000.0,101132.0,71.44453484755915,8959.0,120.0,4365.0
蘆竹區,166394,72.48218084786711,3758.0,927908503.0,2553.244679715227,3136.0,246915.5143693454,530000.0,102138.0,74.82648072007575,899.0,114.0,178.0
觀音區,69995,73.51239374241018,1693.0,418703376.0,2889.258788557848,1314.0,247314.45717660958,421000.0,39126.0,96.26250118641238,201.0,17.0,11.0
